"","gene","name","geneid","NCBI"
"50","ABCD3","ATP binding cassette subfamily D member 3",424487,"NP_001012615.1"
"51","ABCD4","ATP binding cassette subfamily D member 4",423349,"XP_015143159.1"
"52","ABCE1","ATP binding cassette subfamily E member 1",422462,"NP_001006440.1"
"53","ABCF2","ATP binding cassette subfamily F member 2",426038,"NP_001006562.1"
"54","ABCF3","ATP binding cassette subfamily F member 3",424950,"XP_422757.4"
"55","ABCG1","ATP binding cassette subfamily G member 1",418533,"XP_416742.2"
"56","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)",423767,"XP_004942163.1"
"57","ABCG4","ATP binding cassette subfamily G member 4",428242,"XP_015153690.1"
"58","ABCG5","ATP binding cassette subfamily G member 5",421401,"XP_419457.3"
"59","ABCG8","ATP binding cassette subfamily G member 8",421402,"XP_015139320.1"
"60","ABCG8","ATP binding cassette subfamily G member 8",421402,"XP_015139321.1"
"61","ABHD2","abhydrolase domain containing 2, acylglycerol lipase",415493,"XP_004943902.1"
"62","ABHD3","abhydrolase domain containing 3, phospholipase",421068,"XP_015133452.1"
"63","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",420673,"NP_001265074.1"
"64","ABHD6","abhydrolase domain containing 6, acylglycerol lipase",416009,"XP_004944643.1"
"65","ABHD8","abhydrolase domain containing 8",100857580,"XP_003643443.1"
"66","ABHD10","abhydrolase domain containing 10, depalmitoylase",418419,"XP_416633.4"
"67","ABHD11","abhydrolase domain containing 11",417473,"XP_415721.5"
"68","ABHD12","abhydrolase domain containing 12, lysophospholipase",421249,"NP_001012889.1"
"69","ABHD12B","abhydrolase domain containing 12B",100857753,"XP_003641499.1"
"70","ABHD13","abhydrolase domain containing 13",418763,"NP_001008681.1"
"71","ABHD14A","abhydrolase domain containing 14A",100858554,"XP_015148344.1"
"72","ABHD16A","abhydrolase domain containing 16A, phospholipase",107051252,"XP_015130384.1"
"73","ABHD17A","abhydrolase domain containing 17A, depalmitoylase",769919,"XP_015155364.1"
"74","ABHD17B","abhydrolase domain containing 17B, depalmitoylase",427252,"NP_001026594.1"
"75","ABHD17C","abhydrolase domain containing 17C, depalmitoylase",415479,"NP_001007827.1"
"76","ABI1","abl interactor 1",420489,"XP_015136852.1"
"77","ABI1","abl interactor 1",420489,"XP_015136856.1"
"78","ABI2","abl interactor 2",424108,"XP_004942722.2"
"79","ABI2","abl interactor 2",424108,"XP_004942723.2"
"80","ABI3BP","ABI family member 3 binding protein",769237,"XP_015152409.1"
"81","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase",417181,"XP_015135221.1"
"82","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase",395410,"XP_015145994.1"
"83","ABLIM1","actin binding LIM protein 1",423911,"XP_015144157.1"
"84","ABLIM2","actin binding LIM protein family member 2",422866,"XP_015141317.1"
"85","ABLIM2","actin binding LIM protein family member 2",422866,"XP_015141327.1"
"86","ABLIM3","actin binding LIM protein family member 3",416201,"XP_004944918.1"
"87","ABR","ABR activator of RhoGEF and GTPase",771897,"XP_015151320.1"
"88","ABRA","actin binding Rho activating protein",430953,"XP_428503.3"
"89","ABRACL","ABRA C-terminal like",770205,"NP_001289105.1"
"90","ABTB1","ankyrin repeat and BTB domain containing 1",416026,"NP_001025769.1"
"91","ABTB2","ankyrin repeat and BTB domain containing 2",425717,"XP_423445.3"
"92","ACAA1","acetyl-CoA acyltransferase 1",770094,"NP_001184217.1"
"93","ACAA2","acetyl-CoA acyltransferase 2",426847,"NP_001006571.1"
"94","ACACA","acetyl-CoA carboxylase alpha",396504,"XP_015151177.1"
"95","ACAD9","acyl-CoA dehydrogenase family member 9",415974,"NP_001006136.1"
"96","ACAD10","acyl-CoA dehydrogenase family member 10",416879,"XP_015131057.1"
"97","ACAD11","acyl-CoA dehydrogenase family member 11",420689,"NP_001006367.1"
"98","ACADL","acyl-CoA dehydrogenase long chain",424005,"NP_001006511.1"
"99","ACADS","acyl-CoA dehydrogenase short chain",416969,"NP_001006193.1"
"100","ACADSB","acyl-CoA dehydrogenase short/branched chain",423947,"NP_001026411.1"
"101","ACAN","aggrecan",395798,"XP_015147465.1"
"102","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",424895,"XP_015146881.1"
"103","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",419420,"XP_417581.2"
"104","ACAT1","acetyl-CoA acetyltransferase 1",418968,"NP_001264708.1"
"105","ACAT2","acetyl-CoA acetyltransferase 2",421587,"NP_001034376.2"
"106","ACBD3","acyl-CoA binding domain containing 3",421317,"NP_001026214.1"
"107","ACBD4","acyl-CoA binding domain containing 4",771191,"XP_015154775.1"
"108","ACBD5","acyl-CoA binding domain containing 5",420488,"XP_015136849.1"
"109","ACBD6","acyl-CoA binding domain containing 6",424416,"NP_001264476.1"
"110","ACBD7","acyl-CoA binding domain containing 7",420531,"XP_429769.2"
"111","ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)",423170,"XP_015142682.1"
"112","ACD","ACD shelterin complex subunit and telomerase recruitment factor",769451,"XP_015134669.1"
"113","ACE","angiotensin I converting enzyme",419953,"NP_001161204.1"
"114","ACE2","angiotensin I converting enzyme 2",418623,"XP_416822.2"
"115","ACER1","alkaline ceramidase 1",420088,"XP_004948808.1"
"116","ACER2","alkaline ceramidase 2",427235,"XP_424820.4"
"117","ACER3","alkaline ceramidase 3",419087,"XP_417279.1"
"118","ACHE","acetylcholinesterase (Cartwright blood group)",396388,"XP_015130608.1"
"119","ACKR2","atypical chemokine receptor 2",420393,"XP_015136629.1"
"120","ACKR4","atypical chemokine receptor 4",100859797,"XP_003640769.2"
"121","ACLY","ATP citrate lyase",395373,"XP_015155066.1"
"122","ACLY","ATP citrate lyase",395373,"XP_015155067.1"
"123","ACMSD","aminocarboxymuconate semialdehyde decarboxylase",424288,"XP_422133.2"
"124","ACO1","aconitase 1",373916,"NP_001025707.1"
"125","ACO2","aconitase 2",374009,"NP_989519.1"
"126","ACOT4","acyl-CoA thioesterase 4",428872,"XP_003641440.1"
"127","ACOT7","acyl-CoA thioesterase 7",419371,"XP_015152530.1"
"128","ACOT8","acyl-CoA thioesterase 8",419303,"XP_417475.3"
"129","ACOT9","acyl-CoA thioesterase 9",418600,"XP_015157923.1"
"130","ACOT11","acyl-CoA thioesterase 11",429108,"XP_004936885.1"
"131","ACOT12","acyl-CoA thioesterase 12",431627,"XP_429179.3"
"132","ACOT13","acyl-CoA thioesterase 13",421006,"XP_015137900.1"
"133","ACOX1","acyl-CoA oxidase 1",417366,"NP_001006205.1"
"134","ACOX1","acyl-CoA oxidase 1",417366,"XP_015150649.1"
"135","ACOX2","acyl-CoA oxidase 2",416068,"XP_004944703.1"
"136","ACOX2","acyl-CoA oxidase 2",416068,"XP_004944704.1"
"137","ACOX3","acyl-CoA oxidase 3, pristanoyl",422869,"XP_015141332.1"
"138","ACP1","acid phosphatase 1",421909,"NP_001034380.1"
"139","ACP1","acid phosphatase 1",421909,"XP_015140324.1"
"140","ACP2","acid phosphatase 2, lysosomal",428864,"NP_001026719.1"
"141","ACP5","acid phosphatase 5, tartrate resistant",107057619,"XP_015158183.1"
"142","ACP6","acid phosphatase 6, lysophosphatidic",418458,"NP_001265005.1"
"143","ACR","acrosin",426864,"XP_003640366.3"
"144","ACRBP","acrosin binding protein",418280,"XP_004938169.1"
"145","ACSBG1","acyl-CoA synthetase bubblegum family member 1",415361,"XP_004943774.1"
"146","ACSBG2","acyl-CoA synthetase bubblegum family member 2",420090,"XP_015155300.1"
"147","ACSF2","acyl-CoA synthetase family member 2",422102,"XP_015151000.1"
"148","ACSF3","acyl-CoA synthetase family member 3",427561,"XP_004944364.1"
"149","ACSL1","acyl-CoA synthetase long chain family member 1",422547,"NP_001012596.1"
"150","ACSL3","acyl-CoA synthetase long chain family member 3",424810,"XP_015132518.1"
"151","ACSL4","acyl-CoA synthetase long chain family member 4",422345,"XP_004940862.1"
"152","ACSL5","acyl-CoA synthetase long chain family member 5",423896,"NP_001026408.1"
"153","ACSL6","acyl-CoA synthetase long chain family member 6",416324,"XP_015149563.1"
"154","ACSM3","acyl-CoA synthetase medium chain family member 3",426999,"XP_015150306.1"
"155","ACSM3","acyl-CoA synthetase medium chain family member 3",426999,"XP_424601.2"
"156","ACSM4","acyl-CoA synthetase medium chain family member 4",426991,"XP_015150276.1"
"157","ACSM5","acyl-CoA synthetase medium chain family member 5",426992,"XP_015150275.1"
"158","ACSS1","acyl-CoA synthetase short chain family member 1",416714,"XP_015139028.1"
"159","ACSS2","acyl-CoA synthetase short chain family member 2",419158,"XP_015152278.1"
"160","ACSS3","acyl-CoA synthetase short chain family member 3",417875,"XP_416118.2"
"161","ACTA2","actin alpha 2, smooth muscle",423787,"XP_015143877.1"
"162","ACTL6A","actin like 6A",424975,"XP_422784.3"
"163","ACTN1","actinin alpha 1",373918,"XP_015142745.1"
"164","ACTN1","actinin alpha 1",373918,"XP_015142747.1"
"165","ACTN2","actinin alpha 2",396263,"NP_990654.1"
"166","ACTN4","actinin alpha 4",396024,"NP_990457.1"
"167","ACTR1A","actin related protein 1A",423862,"NP_001007949.1"
"168","ACTR2","actin related protein 2",396147,"NP_990555.1"
"169","ACTR3","actin related protein 3",374197,"NP_989638.1"
"170","ACTR5","actin related protein 5",419169,"NP_001008446.1"
"171","ACTR6","actin related protein 6",395348,"NP_989968.1"
"172","ACTR8","actin related protein 8",415994,"XP_414336.2"
"173","ACTR10","actin related protein 10",423543,"NP_001006492.1"
"174","ACVR1","activin A receptor type 1",395246,"XP_015145613.1"
"175","ACVR1B","activin A receptor type 1B",768878,"XP_015155752.1"
"176","ACVR2A","activin A receptor type 2A",396324,"NP_990698.1"
"177","ACVR2B","activin A receptor type 2B",374213,"NP_989648.1"
"178","ACVRL1","activin A receptor like type 1",100857446,"XP_015155754.1"
"179","ACY1","aminoacylase 1",100858836,"XP_015148339.1"
"180","ACYP1","acylphosphatase 1",423361,"NP_001161477.1"
"181","ACYP2","acylphosphatase 2",421217,"NP_001161234.1"
"182","ADA","adenosine deaminase",419194,"NP_001006290.1"
"183","ADAD1","adenosine deaminase domain containing 1",422669,"XP_420624.3"
"184","ADAL","adenosine deaminase like",415391,"XP_015134377.1"
"185","ADAM5","ADAM metallopeptidase domain 5 (pseudogene)",423946,"XP_004942396.2"
"186","ADAM9","ADAM metallopeptidase domain 9",426781,"NP_001026567.2"
"187","ADAM10","ADAM metallopeptidase domain 10",374113,"NP_989592.2"
"188","ADAM11","ADAM metallopeptidase domain 11",428282,"XP_015154752.1"
"189","ADAM12","ADAM metallopeptidase domain 12",425843,"XP_015144479.1"
"190","ADAM15","ADAM metallopeptidase domain 15",419050,"XP_004939078.2"
"191","ADAM17","ADAM metallopeptidase domain 17",421931,"NP_001008682.1"
"192","ADAM19","ADAM metallopeptidase domain 19",416244,"NP_001182051.1"
"193","ADAM20","ADAM metallopeptidase domain 20",404294,"NP_996860.1"
"194","ADAM22","ADAM metallopeptidase domain 22",420537,"XP_015137457.1"
"195","ADAM22","ADAM metallopeptidase domain 22",420537,"XP_015137466.1"
"196","ADAM23","ADAM metallopeptidase domain 23",424099,"XP_015144915.1"
"197","ADAM23","ADAM metallopeptidase domain 23",424099,"XP_015144917.1"
"198","ADAM33","ADAM metallopeptidase domain 33",422948,"XP_015141528.1"
"199","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1",418479,"XP_015154663.1"
"200","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2",416291,"XP_414611.5"
"201","ADAMTS3","ADAM metallopeptidase with thrombospondin type 1 motif 3",428760,"XP_015131889.1"
"202","ADAMTS5","ADAM metallopeptidase with thrombospondin type 1 motif 5",427971,"XP_425541.5"
"203","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6",427160,"XP_424749.4"
"204","ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif 7",415570,"XP_003641878.2"
"205","ADAMTS8","ADAM metallopeptidase with thrombospondin type 1 motif 8",769222,"XP_015153616.1"
"206","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9",416080,"XP_004944721.1"
"207","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13",417152,"XP_004945998.2"
"208","ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15",419733,"XP_417874.2"
"209","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17",415515,"XP_015147746.1"
"210","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17",415515,"XP_015147749.1"
"211","ADAMTS18","ADAM metallopeptidase with thrombospondin type 1 motif 18",100858277,"XP_004944310.2"
"212","ADAMTS19","ADAM metallopeptidase with thrombospondin type 1 motif 19",415600,"XP_413968.4"
"213","ADAMTSL1","ADAMTS like 1",431603,"XP_015135696.1"
"214","ADAMTSL2","ADAMTS like 2",417147,"XP_003642352.3"
"215","ADAMTSL2","ADAMTS like 2",417147,"XP_004946010.2"
"216","ADAMTSL3","ADAMTS like 3",415465,"XP_004943885.1"
"217","ADAMTSL5","ADAMTS like 5",427264,"XP_003642926.1"
"218","ADAMTSL5","ADAMTS like 5",427264,"XP_015155455.1"
"219","ADAP1","ArfGAP with dual PH domains 1",416451,"XP_414759.2"
"220","ADAP2","ArfGAP with dual PH domains 2",417409,"XP_415661.1"
"221","ADAR","adenosine deaminase RNA specific",769675,"XP_001232162.2"
"222","ADARB1","adenosine deaminase RNA specific B1",374087,"NP_001104544.1"
"223","ADARB2","adenosine deaminase RNA specific B2 (inactive)",420461,"XP_418563.4"
"224","ADAT1","adenosine deaminase tRNA specific 1",415886,"XP_015148094.1"
"225","ADAT2","adenosine deaminase tRNA specific 2",421670,"XP_419709.1"
"226","ADCK1","aarF domain containing kinase 1",423382,"NP_001073199.1"
"227","ADCK2","aarF domain containing kinase 2",418116,"XP_416350.3"
"228","ADCY1","adenylate cyclase 1",420788,"XP_418883.4"
"229","ADCY3","adenylate cyclase 3",422013,"XP_015140679.1"
"230","ADCY5","adenylate cyclase 5",395340,"NP_989962.2"
"231","ADCY7","adenylate cyclase 7",415732,"XP_015147893.1"
"232","ADCY8","adenylate cyclase 8",420328,"XP_418437.2"
"233","ADCY9","adenylate cyclase 9",395339,"NP_989961.2"
"234","ADCYAP1","adenylate cyclase activating polypeptide 1",408251,"NP_001001291.2"
"235","ADCYAP1R1","ADCYAP receptor type I",420386,"XP_015136560.1"
"236","ADD1","adducin 1",422882,"NP_001073198.2"
"237","ADD1","adducin 1",422882,"XP_015141264.1"
"238","ADD2","adducin 2",107054985,"XP_015152973.1"
"239","ADD3","adducin 3",373892,"XP_015144019.1"
"240","ADGB","androglobin",421618,"XP_419656.4"
"241","ADGRD1","adhesion G protein-coupled receptor D1",416803,"XP_415094.4"
"242","ADGRD2","adhesion G protein-coupled receptor D2",100858563,"XP_004946083.1"
"243","ADGRF4","adhesion G protein-coupled receptor F4",107053171,"XP_015140646.1"
"244","ADGRF5","adhesion G protein-coupled receptor F5",101750527,"XP_004935988.2"
"245","ADGRG3","adhesion G protein-coupled receptor G3",415632,"XP_015147821.1"
"246","ADGRL4","adhesion G protein-coupled receptor L4",424546,"XP_015146376.1"
"247","ADGRV1","adhesion G protein-coupled receptor V1",431566,"XP_015136037.1"
"248","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide",771920,"NP_001292112.1"
"249","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide",422705,"NP_001026323.1"
"250","ADHFE1","alcohol dehydrogenase iron containing 1",426446,"XP_015138234.1"
"251","ADI1","acireductone dioxygenase 1",421918,"NP_001026260.1"
"252","ADIPOQ","adiponectin, C1Q and collagen domain containing",404536,"NP_996874.1"
"253","ADIPOR1","adiponectin receptor 1",421148,"XP_015154192.1"
"254","ADIPOR2","adiponectin receptor 2",418155,"NP_001007855.1"
"255","ADIRF","adipogenesis regulatory factor",768752,"NP_001289129.1"
"256","ADK","adenosine kinase",423735,"NP_001006501.1"
"257","ADK","adenosine kinase",423735,"XP_015143702.1"
"258","ADM","adrenomedullin",423042,"XP_015141946.1"
"259","ADNP","activity dependent neuroprotector homeobox",419350,"XP_015151967.1"
"260","ADNP2","ADNP homeobox 2",420805,"XP_418898.1"
"261","ADO","2-aminoethanethiol dioxygenase",107053634,"XP_015143625.1"
"262","ADORA1","adenosine A1 receptor",374212,"NP_989647.3"
"263","ADORA2A","adenosine A2a receptor",427705,"XP_004934405.1"
"264","ADORA2B","adenosine A2b receptor",395971,"NP_990418.1"
"265","ADORA3","adenosine A3 receptor",373956,"NP_989482.2"
"266","ADPGK","ADP dependent glucokinase",415317,"NP_001280139.1"
"267","ADPRH","ADP-ribosylarginine hydrolase",418452,"NP_001265030.1"
"268","ADPRHL1","ADP-ribosylhydrolase like 1",418741,"XP_416940.1"
"269","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",768578,"XP_015150710.1"
"270","ADRA1A","adrenoceptor alpha 1A",428203,"XP_015152983.1"
"271","ADRA1B","adrenoceptor alpha 1B",373890,"XP_414483.2"
"272","ADRA1D","adrenoceptor alpha 1D",422933,"XP_004936331.1"
"273","ADRA2A","adrenoceptor alpha 2A",428980,"XP_004942333.2"
"274","ADRA2B","adrenoceptor alpha 2B",427631,"XP_015149335.1"
"275","ADRA2C","adrenoceptor alpha 2C",428799,"XP_004936359.1"
"276","ADRB2","adrenoceptor beta 2",427623,"XP_015149170.1"
"277","ADRM1","adhesion regulating molecule 1",395365,"NP_989982.1"
"278","ADSL","adenylosuccinate lyase",396540,"NP_990860.1"
"279","ADTRP","androgen dependent TFPI regulating protein",771464,"XP_001234747.1"
"280","AEBP1","AE binding protein 1",100859431,"XP_015152996.1"
"281","AEBP2","AE binding protein 2",418184,"XP_416415.5"
"282","AEN","apoptosis enhancing nuclease",415496,"XP_004943908.1"
"283","AFAP1","actin filament associated protein 1",374034,"NP_989536.1"
"284","AFAP1L1","actin filament associated protein 1 like 1",427621,"XP_015149185.1"
"285","AFAP1L2","actin filament associated protein 1 like 2",423908,"XP_015144432.1"
"286","AFF1","AF4/FMR2 family member 1",422590,"XP_004941157.1"
"287","AFF2","AF4/FMR2 family member 2",422394,"XP_015134139.1"
"288","AFF3","AF4/FMR2 family member 3",418705,"XP_015133277.1"
"289","AFF3","AF4/FMR2 family member 3",418705,"XP_015133278.1"
"290","AFF4","AF4/FMR2 family member 4",416337,"XP_004945087.1"
"291","AFG3L2","AFG3 like matrix AAA peptidase subunit 2",421036,"XP_419121.3"
"292","AFMID","arylformamidase",769005,"XP_004946352.2"
"293","AFP","alpha fetoprotein",422652,"XP_015131885.1"
"294","AFTPH","aftiphilin",421277,"XP_004940263.1"
"295","AGA","aspartylglucosaminidase",422558,"NP_001006445.1"
"296","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",768507,"XP_015136516.1"
"297","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",768507,"XP_015136517.1"
"298","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",768507,"XP_015136518.1"
"299","AGBL1","ATP/GTP binding protein like 1",427507,"XP_004943912.1"
"300","AGBL2","ATP/GTP binding protein like 2",426630,"XP_015141788.1"
"301","AGBL3","ATP/GTP binding protein like 3",769745,"XP_015145021.1"
"302","AGBL4","ATP/GTP binding protein like 4",772083,"XP_001235271.3"
"303","AGBL4","ATP/GTP binding protein like 4",772083,"XP_015146714.1"
"304","AGBL5","ATP/GTP binding protein like 5",770678,"XP_015140493.1"
"305","AGFG1","ArfGAP with FG repeats 1",424793,"XP_015132465.1"
"306","AGGF1","angiogenic factor with G-patch and FHA domains 1",416364,"XP_004937392.1"
"307","AGGF1","angiogenic factor with G-patch and FHA domains 1",416364,"XP_414679.3"
"308","AGK","acylglycerol kinase",418121,"XP_004937932.2"
"309","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",424474,"XP_015146236.1"
"310","AGMO","alkylglycerol monooxygenase",772374,"XP_001235521.4"
"311","AGO1","argonaute RISC component 1",428222,"NP_001304141.1"
"312","AGO3","argonaute RISC catalytic component 3",419628,"NP_001026071.1"
"313","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1",419941,"XP_004948570.1"
"314","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2",772114,"XP_001235300.2"
"315","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3",418550,"XP_004934656.1"
"316","AGPAT4","1-acylglycerol-3-phosphate O-acyltransferase 4",421578,"XP_419616.2"
"317","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5",421898,"XP_419916.1"
"318","AGPS","alkylglycerone phosphate synthase",424135,"XP_421987.3"
"319","AGR2","anterior gradient 2, protein disulphide isomerase family member",420596,"XP_418698.1"
"320","AGR3","anterior gradient 3, protein disulphide isomerase family member",420597,"NP_001186542.1"
"321","AGRN","agrin",396538,"XP_015152328.1"
"322","AGRP","agouti related neuropeptide",427535,"NP_001026628.1"
"323","AGT","angiotensinogen",421543,"XP_004935550.1"
"324","AGTPBP1","ATP/GTP binding protein 1",427460,"NP_001292036.1"
"325","AGTR1","angiotensin II receptor type 1",396065,"NP_990488.1"
"326","AGTR2","angiotensin II receptor type 2",428708,"XP_004940717.1"
"327","AGTRAP","angiotensin II receptor associated protein",419491,"XP_015152525.1"
"328","AGXT","alanine--glyoxylate and serine--pyruvate aminotransferase",770344,"XP_003641783.2"
"329","AGXT2","alanine--glyoxylate aminotransferase 2",431666,"XP_429219.3"
"330","AHCTF1","AT-hook containing transcription factor 1",421484,"NP_001155273.1"
"331","AHCY","adenosylhomocysteinase",419146,"XP_417331.5"
"332","AHCYL1","adenosylhomocysteinase like 1",419803,"NP_001026084.1"
"333","AHDC1","AT-hook DNA binding motif containing 1",100859023,"XP_015153081.1"
"334","AHI1","Abelson helper integration site 1",421693,"XP_004935779.1"
"335","AHNAK2","AHNAK nucleoprotein 2",100859120,"XP_015143424.1"
"336","AHR","aryl hydrocarbon receptor",373907,"NP_989449.2"
"337","AHRR","aryl-hydrocarbon receptor repressor",420989,"NP_001188316.1"
"338","AHSA1","activator of HSP90 ATPase activity 1",423378,"XP_421292.1"
"339","AHSG","alpha 2-HS glycoprotein",424956,"XP_422764.1"
"340","AICDA","activation induced cytidine deaminase",418257,"NP_001230151.1"
"341","AIDA","axin interactor, dorsalization associated",421335,"NP_001264469.1"
"342","AIFM1","apoptosis inducing factor mitochondria associated 1",428688,"NP_001007491.1"
"343","AIFM2","apoptosis inducing factor mitochondria associated 2",423720,"XP_421597.1"
"344","AIFM3","apoptosis inducing factor mitochondria associated 3",416999,"XP_003642264.1"
"345","AIG1","androgen induced 1",421671,"XP_419710.2"
"346","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1",422533,"XP_420496.3"
"347","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2",769030,"XP_015149769.1"
"348","AIP","aryl hydrocarbon receptor interacting protein",395123,"NP_989800.1"
"349","AIP","aryl hydrocarbon receptor interacting protein",395186,"NP_989846.1"
"350","AIP","aryl hydrocarbon receptor interacting protein",395446,"NP_990038.1"
"351","AIP","aryl hydrocarbon receptor interacting protein",395948,"NP_990398.1"
"352","AIP","aryl hydrocarbon receptor interacting protein",396132,"NP_990542.1"
"353","AIPL1","aryl hydrocarbon receptor interacting protein like 1",769785,"XP_001233085.4"
"354","AJAP1","adherens junctions associated protein 1",770310,"XP_015152557.1"
"355","AK1","adenylate kinase 1",396002,"XP_015134822.1"
"356","AK2","adenylate kinase 2",428227,"XP_004947909.1"
"357","AK3","adenylate kinase 3",426534,"XP_015135676.1"
"358","AK4","adenylate kinase 4",424697,"XP_422526.3"
"359","AK5","adenylate kinase 5",424555,"XP_422391.2"
